Column1;audienceRating;Genre;criticRating;timeMin;grossMillions;Movie;Vote;Budget;Year;Profit
2345;80;Action;82;127;25773;Star Trek;536453;26157;2009;-384
1817;72;Drama;65;101;25639;Je suis une légende;587540;24525;2007;1114
2360;77;Biography;53;129;25596;The Blind Side - l'éveil d'un champion;245748;3337;2009;22259
3637;74;Adventure;59;144;25512;Le Hobbit: La bataille des cinq armées;402707;26825;2014;-1313
2850;65;Comedy;44;102;25446;Very Bad Trip 2;405956;9248;2011;16198
2597;77;Animation;72;95;25151;Moi, moche et méchant;427466;6717;2010;18434
1564;64;Adventure;48;108;25086;La nuit au musée;261649;7964;2006;17122
1032;78;Adventure;82;142;24936;Harry Potter et le prisonnier d'Azkaban;434526;27503;2004;-2567
4171;76;Animation;81;107;24876;Vaiana, la légende du bout du monde;169963;15955;2016;8921
3658;57;Action;32;165;24544;Transformers: L'âge de l'extinction;266702;6765;2014;17779
1558;71;Animation;73;117;24408;Cars - Quatre roues;296085;3641;2006;20767
787;67;Comedy;46;101;24283;Bruce tout-puissant;323153;27660;2003;-3377
552;66;Comedy;62;95;24144;Mariage à la grecque;108684;25104;2002;-960
3655;70;Action;56;97;24141;Maléfique;279006;25786;2014;-1645
2848;66;Action;45;136;24107;Pirates des Caraïbes: La fontaine de jouvence;414594;24257;2011;-150
3378;71;Action;61;130;23868;Fast & Furious 6;327879;3092;2013;20776
2632;63;Animation;58;93;23837;Shrek 4, il était une fin;152488;3736;2010;20101
3117;72;Animation;69;93;23728;Rebelle;306618;28812;2012;-5084
3395;63;Adventure;44;130;23491;Le monde fantastique d'Oz;184827;21738;2013;1753
1550;67;Action;58;104;23436;X-Men: L'affrontement final;419900;19482;2006;3954
1288;65;Adventure;73;116;23428;La guerre des mondes;361607;2337;2005;21091
4158;74;Adventure;66;133;23404;Les animaux fantastiques;283487;11416;2016;11988
3629;80;Action;74;132;23392;X-Men: Days of Future Past;572652;22357;2014;1035
5;78;Adventure;73;143;23363;Seul au monde;435798;9259;2000;14104
4153;75;Action;72;115;23264;Doctor Strange;370876;23728;2016;-464
3364;78;Action;72;132;22878;Star Trek Into Darkness;427328;25974;2013;-3096
3902;80;Adventure;80;144;22843;Seul sur Mars;593281;7154;2015;15689
520;67;Drama;59;106;22797;Signes;294998;25607;2002;-2810
2088;64;Action;49;92;22795;Hancock;380146;24181;2008;-1386
1819;81;Action;85;115;22747;La vengeance dans la peau;543664;28796;2007;-6049
4397;82;Action;77;137;22628;Logan;420215;6692;2017;15936
283;66;Action;48;90;22616;Rush Hour 2;173322;24733;2001;-2117
4414;68;Action;56;136;22576;Fast & Furious 8;146007;12551;2017;10025
2082;84;Animation;95;98;22381;Wall-E;812754;3790;2008;18591
3650;78;Animation;74;102;22253;Les Nouveaux Héros;326295;27495;2014;-5242
4413;71;Action;45;120;22162;Justice League;148293;10944;2017;11218
1852;65;Action;48;124;21996;Benjamin Gates et le livre des secrets;194661;28349;2007;-6353
2488;45;Animation;41;88;21961;Alvin et les Chipmunks 2;35279;17784;2009;4177
3108;70;Comedy;62;106;21882;Ted;508179;29976;2012;-8094
1290;72;Action;81;187;21808;King Kong;344002;1111;2005;20697
2594;81;Animation;74;98;21758;Dragons;546618;13546;2010;8212
1554;66;Mystery;46;149;21754;Da Vinci Code;348740;18306;2006;3448
1916;52;Animation;39;92;21733;Alvin et les Chipmunks;63035;28804;2007;-7071
3158;69;Animation;60;93;21639;Madagascar 3: Bons baisers d'Europe;132149;4189;2012;17450
2094;76;Animation;73;92;21543;Kung Fu Panda;344200;26173;2008;-4630
9;61;Action;59;123;21541;M-I:2 Mission: Impossible 2;263188;5413;2000;16128
778;75;Action;68;134;21495;X-Men 2;446153;22379;2003;-884
3178;64;Animation;46;86;21403;Le Lorax;84042;1756;2012;19647
535;62;Action;62;94;21331;Austin Powers dans Goldmember;173618;7087;2002;14244
1545;77;Action;52;117;21061;300;654718;5606;2006;15455
2860;73;Action;66;130;20984;Fast & Furious 5;310227;13194;2011;7790
1294;70;Comedy;64;119;20922;Serial noceurs;297816;22418;2005;-1496
2346;76;Action;57;128;20903;Sherlock Holmes;517094;367;2009;20536
3643;76;Action;79;130;20855;La planète des singes: L'affrontement;362597;24512;2014;-3657
1282;83;Action;70;140;20685;Batman Begins;1090661;23638;2005;-2953
1289;67;Adventure;72;115;20646;Charlie et la chocolaterie;356086;2984;2005;17662
1820;80;Animation;96;111;20645;Ratatouille;523493;2082;2007;18563
3362;70;Action;54;112;20636;Thor: Le monde des ténèbres;467333;16241;2013;4395
3644;67;Action;53;142;20285;The Amazing Spider-Man: Le destin d'un héros;356837;22102;2014;-1817
3359;70;Action;63;116;20236;World War Z;513637;16358;2013;3878
270;63;Action;48;130;20202;Le retour de la momie;266917;10293;2001;9909
3940;70;Drama;67;105;20115;Cendrillon;123976;23592;2015;-3477
2600;78;Animation;71;100;20082;Raiponce;330438;46;2010;20036
3649;64;Action;62;123;20068;Godzilla;326533;29410;2014;-9342
1568;61;Action;72;154;20008;Superman Returns;251293;29698;2006;-9690
3909;68;Action;60;148;20007;007 Spectre;323415;2875;2015;17132
268;61;Action;44;183;19854;Pearl Harbor;275410;18557;2001;1297
2391;65;Animation;56;94;19835;Monstres contre Aliens;125375;6845;2009;12990
2368;70;Animation;50;94;19657;L'âge de glace 3: Le temps des dinosaures;184978;6275;2009;13382
1569;68;Animation;58;91;19533;L'âge de glace 2;214661;21303;2006;-1770
3912;74;Action;75;131;19504;Mission: Impossible - Rogue Nation;269503;11550;2015;7954
3653;71;Action;71;112;19172;22 Jump Street;293207;9518;2014;9654
2089;52;Drama;56;122;19147;Twilight: Chapitre 1 - Fascination;369515;20901;2008;-1754
2904;62;Animation;57;106;19145;Cars 2;119583;13705;2011;5440
521;61;Action;49;88;19042;Men in Black II;287273;29758;2002;-10716
3118;77;Animation;72;101;18942;Les mondes de Ralph;302302;6973;2012;11969
4400;82;Action;94;106;18837;Dunkerque;281939;25830;2017;-6993
3626;86;Adventure;74;169;18802;Interstellar;1121382;15778;2014;3024
0;85;Action;67;155;18771;Gladiator;1096457;24035;2000;-5264
3404;72;Animation;55;98;18717;Les Croods;165050;26760;2013;-8043
2854;75;Action;48;129;18685;Sherlock Holmes: Jeu d'ombres;369132;3146;2011;15539
1039;64;Action;47;124;18674;Le jour d'après;360423;19007;2004;-333
1287;65;Action;55;120;18634;Mr. & Mrs. Smith;384395;382;2005;18252
3904;80;Adventure;76;156;18364;The Revenant;535488;10959;2015;7405
263;78;Crime;74;116;18341;Ocean's Eleven;439557;25525;2001;-7184
1083;66;Animation;61;100;18337;Le pôle express;138558;26620;2004;-8283
1835;74;Animation;80;87;18314;Les Simpson: le film;275922;26698;2007;-8384
23;64;Comedy;47;127;18281;Ce que veulent les femmes;170777;16509;2000;1772
34;64;Action;59;130;18262;En pleine tempête;140401;28062;2000;-9800
3137;74;Biography;86;150;18221;Lincoln;213606;4777;2012;13444
272;59;Action;42;92;18117;Jurassic Park III;242887;15040;2001;3077
2840;70;Action;57;115;18103;Thor;597777;19860;2011;-1757
281;57;Action;50;119;18001;La planète des singes;192156;20371;2001;-2370
2124;67;Animation;61;89;18001;Madagascar 2 - La grande évasion;164465;2143;2008;15858
2350;67;Action;40;107;17988;X-Men Origins: Wolverine;402491;11865;2009;6123
3119;68;Action;58;106;17902;Men in Black 3;285752;11158;2012;6744
2382;59;Adventure;42;105;17724;La nuit au musée 2;145700;16508;2009;1216
2846;76;Action;68;105;17676;La planète des singes: Les origines;446188;27123;2011;-9447
2842;69;Action;66;124;17665;Captain America: First Avenger;573007;19601;2011;-1936
2639;62;Action;61;140;17659;Karaté Kid;133772;25542;2010;-7883
517;76;Animation;60;81;17639;L'âge de glace;362786;602;2002;17037
1037;78;Action;73;108;17624;La mort dans la peau;383351;12114;2004;5510
4422;73;Animation;75;104;17575;Lego Batman, le film;87904;29392;2017;-11817
4403;77;Horror;84;104;17548;Get Out;212891;21834;2017;-4286
1053;69;Action;39;131;17301;Benjamin Gates et le trésor des Templiers;270667;20275;2004;-2974
4411;67;Action;39;129;17256;Pirates des Caraïbes: la Vengeance de Salazar;164697;9897;2017;7359
2608;68;Action;49;125;17206;Tron: L'héritage;280565;15341;2010;1865
2609;76;Adventure;80;110;17124;True Grit;262742;14700;2010;2424
256;82;Biography;72;135;17074;Un homme d'exception;693160;19897;2001;-2823
532;72;Comedy;82;113;17069;Chicago;187046;24173;2002;-7104
2856;81;Drama;62;146;16971;La couleur des sentiments;356126;28736;2011;-11765
4188;78;Biography;74;127;16939;Les figures de l'ombre;131480;26296;2016;-9357
2868;68;Comedy;75;125;16911;Mes meilleures amies;234463;1518;2011;15393
2092;66;Action;58;106;16837;Quantum of Solace;356938;13283;2008;3554
1879;59;Action;27;100;16827;Bande de sauvages;104884;8209;2007;8618
4408;67;Action;62;118;16805;Kong: Skull Island;180312;4567;2017;12238
3628;81;Crime;79;149;16777;Gone Girl;673839;3930;2014;12847
1548;80;Action;80;144;16745;Casino Royale;508583;14177;2006;2568
8;70;Comedy;73;108;16624;Mon beau-père et moi;277723;9261;2000;7363
3915;41;Drama;46;125;16617;Cinquante nuances de Grey;253429;27145;2015;-10528
2353;58;Action;49;158;16611;2012;306963;21119;2009;-4508
2876;73;Animation;67;90;16525;Kung Fu Panda 2;206106;10869;2011;5656
275;68;Crime;57;131;16509;Hannibal;223324;13666;2001;2843
509;81;Biography;76;141;16462;Arrête-moi si tu peux;625289;20019;2002;-3557
2358;67;Comedy;48;108;16396;La proposition;250465;25829;2009;-9433
1553;80;Biography;64;117;16357;À la recherche du bonheur;374769;21240;2006;-4883
2613;58;Action;39;106;16321;Le choc des Titans;243708;1533;2010;14788
4013;60;Animation;62;92;16299;Bob l'éponge, le film: Un héros sort de l'eau;39227;29931;2015;-13632
3101;84;Drama;81;165;16281;Django Unchained;1088427;12639;2012;3642
4172;66;Action;58;123;16243;Jason Bourne;168258;1671;2016;14572
3152;66;Animation;49;88;16132;L'âge de glace 4: La dérive des continents;160538;17713;2012;-1581
533;61;Action;56;133;16094;Meurs un autre jour;181023;20914;2002;-4820
1081;60;Animation;48;90;16086;Gang de requins;143794;26772;2004;-10686
3410;66;Action;60;117;15958;Les flingueuses;143953;2463;2013;13495
4166;71;Action;68;122;15885;Star Trek: Sans limites;185271;15169;2016;716
1318;64;Comedy;48;113;15812;Mi-temps au mitard;141278;10236;2005;5576
16;62;Comedy;48;88;15702;Scary Movie;201618;28348;2000;-12646
4447;88;Animation;81;105;15612;Coco;41108;19020;2017;-3408
41;66;Drama;51;130;15546;Apparences;104371;16678;2000;-1132
4156;70;Action;52;144;15544;X-Men: Apocalypse;304569;7862;2016;7682
3127;61;Action;57;127;15533;Blanche-Neige et le chasseur;245192;22749;2012;-7216
3930;61;Action;43;114;15519;San Andreas;170092;3078;2015;12441
2364;66;Action;46;107;15506;Fast and Furious 4;225630;19443;2009;-3937
1585;67;Animation;67;83;15502;Nos voisins, les hommes;137788;21303;2006;-5801
2144;68;Animation;71;86;15453;Horton;114322;12743;2008;2710
4252;65;Animation;56;92;15371;Les Trolls;52424;2354;2016;13017
3901;81;Action;90;120;15364;Mad Max: Fury Road;677878;17965;2015;-2601
567;50;Adventure;35;86;15329;Scooby-Doo;79015;28219;2002;-12890
2148;56;Comedy;53;145;15265;Sex and the City: Le film;104863;26210;2008;-10945
2369;58;Action;32;118;15227;G.I. Joe - Le réveil du Cobra;183863;11947;2009;3280
3638;67;Adventure;48;139;15095;Divergente;374377;19106;2014;-4011
3376;70;Comedy;44;110;15039;Les Miller, une famille en herbe;346212;19984;2013;-4945
786;63;Action;66;109;15037;Terminator 3 - Le soulèvement des machines;329074;16432;2003;-1395
3963;61;Comedy;42;96;15036;Very Bad Dads;78286;25611;2015;-10575
3661;63;Comedy;68;97;15016;Nos pires voisins;246171;29676;2014;-14660
3369;73;Crime;90;138;15012;American Bluff;390478;12389;2013;2623
2902;67;Animation;65;90;14926;Le chat potté;123910;23222;2011;-8296
3122;76;Drama;63;158;14881;Les Misérables;265144;20930;2012;-6049
1832;70;Comedy;85;129;14873;En cloque, mode d'emploi;315990;6550;2007;8323
2622;73;Animation;63;95;14842;Megamind;190516;1606;2010;13236
2661;55;Comedy;27;98;14838;Mon beau-père et nous;92621;5462;2010;9376
3144;71;Animation;47;91;14831;Hôtel Transylvanie;183633;13606;2012;1225
1582;66;Action;66;108;14821;Ricky Bobby, roi du circuit;141941;12424;2006;2397
4415;75;Action;82;140;14688;La planète des singes: Suprématie;139348;5981;2017;8707
2843;78;Action;65;131;14641;X-Men: Le commencement;567166;7459;2011;7182
542;72;Animation;73;85;14579;Lilo & Stitch;133498;18539;2002;-3960
3368;73;Drama;55;143;14484;Gatsby le magnifique;399674;9868;2013;4616
266;67;Action;58;106;14453;Fast and Furious;298959;575;2001;13878
2129;64;Comedy;51;108;14413;Mamma Mia!;159524;12235;2008;2178
2887;69;Animation;63;96;14362;Rio;178870;14066;2011;296
4198;71;Animation;66;95;14353;Kung Fu Panda 3;97967;29926;2016;-15573
2140;71;Comedy;53;115;14315;Marley & Moi;127096;6024;2008;8291
2948;55;Animation;30;103;14261;Les Schtroumpfs;72625;2377;2011;11884
538;58;Action;48;124;14211;xXx;157434;2527;2002;11684
2123;66;Action;62;150;14162;Le monde de Narnia: chapitre 2 - Le prince Caspian;164884;3188;2008;10974
2084;80;Drama;86;120;14132;Slumdog Millionaire;697451;23880;2008;-9748
1868;62;Action;44;91;14013;Rush Hour 3;131542;18412;2007;-4399
3125;63;Action;45;92;13985;Taken 2;257346;22697;2012;-8712
780;67;Action;47;129;13931;Matrix Revolutions;390863;19782;2003;-5851
603;56;Comedy;48;104;13924;Hyper Noël;39726;28955;2002;-15031
796;66;Action;38;147;13861;Bad Boys II;192385;21882;2003;-8021
832;58;Comedy;46;98;13861;Treize à la douzaine;81429;1087;2003;12774
3113;72;Action;69;109;13845;21 Jump Street;446706;17964;2012;-4119
4160;73;Horror;62;117;13814;Split;235332;14359;2016;-545
2421;68;Animation;55;96;13786;Le drôle de Noël de Scrooge;83140;23228;2009;-9442
79;65;Animation;56;82;13775;Dinosaure;42865;15811;2000;-2036
1563;64;Comedy;45;107;13736;Click - télécommandez votre vie;266424;18658;2006;-4922
3109;77;Biography;86;120;13603;Argo;497503;22982;2012;-9379
798;62;Comedy;52;106;13565;Self Control;181812;1286;2003;12279
1361;58;Animation;48;81;13539;Chicken Little;71257;24162;2005;-10623
3706;62;Action;41;99;13494;Mise à l'épreuve;86331;24881;2014;-11387
1829;72;Action;69;128;13453;Die Hard 4: Retour en enfer;354792;9520;2007;3933
2093;68;Action;61;112;13452;L'incroyable Hulk;355664;24448;2008;-10996
2098;67;Action;64;110;13451;Wanted: Choisis ton destin;320895;17467;2008;-4016
3432;57;Comedy;35;111;13451;Arnaque à la carte;106180;26409;2013;-12958
1561;69;Action;66;126;13403;Mission: Impossible III;278417;16201;2006;-2798
3421;54;Comedy;19;101;13367;Copains pour toujours 2;118782;10574;2013;2793
1035;72;Drama;56;163;13338;Troie;419170;13973;2004;-635
2361;67;Mystery;48;138;13338;Anges et Démons;235628;9656;2009;3682
3027;44;Animation;24;87;13311;Alvin et les Chipmunks 3;25303;3660;2011;9651
893;56;Comedy;39;105;13272;Bronx à Bel Air;31593;9662;2003;3610
3371;67;Action;60;126;13256;Wolverine: Le combat de l'immortel;369383;25657;2013;-12401
1543;85;Crime;85;151;13238;Les infiltrés;976137;29823;2006;-16585
791;57;Action;54;138;13218;Hulk;226250;5739;2003;7479
3105;78;Comedy;81;122;13209;Happiness Therapy;582010;23600;2012;-10391
516;77;Action;80;145;13207;Minority Report;435649;19820;2002;-6613
1843;56;Action;45;92;13192;Les 4 fantastiques et le Surfer d'argent;225804;16585;2007;-3393
2641;42;Action;20;103;13156;Le dernier maître de l'air;128636;28123;2010;-14967
3717;63;Animation;49;101;13154;Rio 2;65390;27923;2014;-14769
284;58;Action;33;100;13114;Lara Croft: Tomb Raider;169695;10889;2001;2225
2119;65;Action;54;110;13032;Max la menace;178220;14572;2008;-1540
3924;63;Action;42;119;13018;Divergente 2: L'insurrection;181185;25444;2015;-12426
4019;71;Animation;67;88;13018;Snoopy et les Peanuts: Le film;35601;28663;2015;-15645
1831;78;Biography;76;157;13016;American Gangster;345781;25541;2007;-12525
4425;52;Action;28;155;13012;Transformers: The Last Knight;83862;18942;2017;-5930
523;71;Horror;57;115;12913;Le cercle: The ring;279014;23826;2002;-10913
1556;73;Comedy;89;84;12851;Borat, leçons culturelles sur l'Amérique au profit de la glorieuse nation Kazakhstan;315437;14172;2006;-1321
4175;53;Action;60;116;12834;SOS Fantômes;161212;25550;2016;-12716
3635;77;Action;60;129;12826;Kingsman: Services secrets;485811;24949;2014;-12123
12;79;Action;93;120;12808;Tigre et dragon;229667;19662;2000;-6854
2589;81;Mystery;63;138;12801;Shutter Island;899270;25808;2010;-13007
1858;71;Animation;75;107;12781;Il était une fois...;154634;3317;2007;9464
2087;78;Drama;70;166;12751;L'étrange histoire de Benjamin Button;502054;6967;2008;5784
4195;63;Action;52;107;12744;Agents presque secrets;110201;20750;2016;-8006
3409;63;Comedy;61;119;12735;Légendes vivantes;144099;2430;2013;10305
563;62;Comedy;45;108;12722;Fashion victime;89908;185;2002;12537
792;59;Action;38;107;12715;2 Fast 2 Furious;213810;7234;2003;5481
3639;64;Action;61;89;12666;Lucy;368944;16198;2014;-3532
4187;63;Action;44;110;12664;Tarzan;132227;7410;2016;5254
1876;61;Animation;54;91;12663;Bee Movie - Drôle d'abeille;116849;3253;2007;9410
3107;70;Adventure;65;124;12648;Prometheus;508707;9194;2012;3454
3147;68;Action;52;115;12637;Sécurité rapprochée;179312;19096;2012;-6459
545;58;Comedy;24;96;12629;Les aventures de Mister Deeds;119271;13442;2002;-813
1044;65;Crime;58;125;12554;Ocean's Twelve;308976;3622;2004;8932
2354;66;Action;49;115;12532;Terminator renaissance;304349;8663;2009;3869
26;55;Action;52;98;12531;Charlie et ses drôles de dames;154200;14145;2000;-1614
4173;75;Biography;74;96;12507;Sully;165651;2495;2016;10012
3151;68;Drama;43;104;12501;Je te promets;161686;20306;2012;-7805
3110;79;Adventure;79;127;12499;L'odyssée de Pi;489876;22688;2012;-10189
2373;70;Animation;66;90;12487;Tempête de boulettes géantes;169541;20680;2009;-8193
3654;78;Drama;69;126;12487;Nos étoiles contraires;284773;21449;2014;-8962
1557;68;Comedy;62;109;12474;Le diable s'habille en Prada;311831;25767;2006;-13293
821;67;Comedy;66;128;12473;Tout peut arriver;97506;10236;2003;2237
21;76;Crime;86;147;12412;Traffic;178704;18516;2000;-6104
2878;72;Animation;75;107;12348;Rango;200662;14005;2011;-1657
80;43;Comedy;38;106;12331;La famille Foldingue;42288;12995;2000;-664
3960;67;Animation;66;93;12309;Le voyage d'Arlo;82381;18460;2015;-6151
3407;58;Action;41;110;12252;G.I. Joe: Conspiration;155873;6551;2013;5701
514;79;Action;68;119;12166;La mémoire dans la peau;446926;29806;2002;-17640
1823;76;Comedy;76;113;12146;SuperGrave;454726;416;2007;11730
1050;68;Comedy;48;99;12091;Amour & amnésie;286446;2659;2004;9432
2340;83;Adventure;69;153;12054;Inglourious Basterds;1005208;565;2009;11489
847;73;Drama;72;140;12028;Pur sang: la légende de Seabiscuit;60360;10714;2003;1314
1057;61;Action;35;131;12018;Van Helsing;214049;27401;2004;-15383
2194;56;Comedy;41;88;12015;Tout... sauf en famille;53444;1551;2008;10464
1871;60;Comedy;37;115;12006;Quand Chuck rencontre Larry;127004;13905;2007;-1899
3462;64;Animation;59;95;11979;L'île des Miam-nimaux: Tempête de boulettes géantes 2;72692;3936;2013;8043
1307;79;Biography;72;136;11952;Walk the Line;200524;5916;2005;6036
2484;51;Animation;41;88;11944;Mission G;35918;5453;2009;6491
2618;67;Action;64;107;11922;Very Bad Cops;206243;17478;2010;-5556
1089;75;Documentary;67;122;11919;Fahrenheit 9/11;118057;12113;2004;-194
562;64;Action;45;124;11891;La somme de toutes les peurs;91770;21962;2002;-10071
1878;67;Comedy;81;117;11887;Hairspray;105567;7055;2007;4832
1068;68;Adventure;62;108;11863;Les désastreuses aventures des orphelins Baudelaire;174081;6870;2004;4993
1865;63;Comedy;64;93;11859;Les rois du patin;138712;11113;2007;746
2610;64;Action;65;100;11831;Salt;262394;19267;2010;-7436
3360;73;Crime;50;115;11772;Insaisissables;512167;6035;2013;5737
56;51;Action;33;99;11756;Big Mamma;71806;20966;2000;-9210
2852;69;Comedy;57;98;11754;Comment tuer son boss?;378264;10485;2011;1269
2711;70;Documentary;56;95;11722;Jackass 3D;50676;26692;2010;-14970
1834;69;Crime;62;122;11715;Ocean's 13;277501;22065;2007;-10350
806;60;Action;45;117;11693;S.W.A.T. unité d'élite;126159;418;2003;11275
531;71;Drama;77;110;11672;8 Mile;208439;2509;2002;9163
3442;72;Biography;66;132;11663;Le majordome;95790;13493;2013;-1830
22;78;Biography;48;113;11565;Le plus beau des combats;173461;8406;2000;3159
2344;80;Sci;81;112;11565;District 9;571963;5567;2009;5998
3684;72;Biography;59;137;11564;Invincible;119596;24182;2014;-12618
4489;63;Comedy;71;122;11511;Girls Trip;15238;3100;2017;8411
